name	id	family	variation	instrumentalists
Footed drum	/m/027x27g			
Hellier Stradivarius	/m/02vp7mp	Violin		
Chamberlin	/m/03__lb	Electric piano		
Eunuch flute	/m/06lmc0			
Lokanga bara	/m/05pb54j			
Roland Virtual Accordion	/m/06nc2b			
Gaohu	/m/05m68n	Bowed string instruments		
Kashaka	/m/04f7f_8			
Kaffir piano	/m/04gt4_s			
Santoor	/m/03rp9t			Tarun Bhattacharya,Shivkumar Sharma,Alain Johannes,Rahul Sharma
Thappu	/m/05c3n3w			
Alard Stradivarius	/m/0c2y6z	Violin		
Guban	/m/02q0y65			
Dilrupa	/m/03gs34p	Bowed string instruments	Esraj	
Xalam	/m/02y57x			
Viola pomposa	/m/02r8jv8	Bowed string instruments,Violoncello		
Kalimba	/m/02vk796			Geoff Richardson,Beck,Kobol,Dennis Rea,Maurice White
Angklung	/m/032kwm			
Bell tree	/m/0d0_jf			
Zhongruan	/m/084xv6	Plucked string instrument		
Epiphone Les Paul	/m/05fc7cw			Pia Fajelagutan
Apache fiddle	/m/05zq6j7			
Tar	/m/05by86			
Khartal	/m/05c3bqf			
Tumpong	/m/0dsrx7	Flute (transverse)		
Fangxiang	/m/097ct9			
Casio AZ-1	/m/08j3nd			
ANS synthesizer	/m/099twy			
Irish bouzouki	/m/07bvbv	Plucked string instrument		Rafi Kirder,Larry Campbell,Bob Hallett,Alan Doyle
Rocksichord	/m/07shgc			
Triolin	/m/0cd08g			
Gusli	/m/020qp1	Zither	Kantele	
Kanun	/m/01py7h	Plucked string instrument		Ara Dinkjian
Mbira	/m/08tw10	Idiophone		
Hulusi	/m/0bgyd8			
Octocontrabass clarinet	/m/0bf7k6	Clarinet		
Double bell euphonium	/m/0bw0d2	Euphonium		
Jules Falk Stradivarius	/m/02qllzq	Violin		
Guitarro	/m/03c21wd	Plucked string instrument		
Suspended cymbal	/m/036ypm	Cymbal		
Noorse balk	/m/02_5c7h			
Truba	/m/02z6l9x			
Fortepiano	/m/02wfc4			Steven Lubin
Zhaleika	/m/042w40			
Krapeu	/m/043nzq4			
Kacapi	/m/01qwn0	Plucked string instrument		
Clavecin électrique	/m/0c73yc			
Theatre organ	/m/04bnmz	Pipe organ		Horace Finch,Carl Stalling,Reginald Dixon,George Wright
Keyboard bass	/m/051_hk	Keyboard instrument		Benjamin Anderson,Ray Manzarek,Kenneth Hughes,Ashwin Sood
Ex Vatican Stradivarius	/m/047d52p			
Tro u	/m/043p2s8			
Dohalla	/m/04j396p			Scabland Band
Trautonium	/m/03r8pl	Electronic keyboard		
Balaban	/m/03nxqgd			
Konghou	/m/085bh5	Plucked string instrument		
Korg Trinity	/m/08pr67			City Spud
Algoza	/m/08sp67			
Guitar/synthesizer	/m/0gjhlm			Adrian Smith,Karl Sanders,Yannis Spathas,Trey Azagthoth,Derek Gruen,Spencer James,Matthew Bellamy,Les Fradkin,Adrian Belew
Subcontrabass saxophone	/m/06dw6p	Saxophone		
Pan flute	/m/060jx			William Butler,Trent Reznor,Senmuth,Andrew Latimer,Gheorghe Zamfir,Marilyn Manson
Harp guitar	/m/08my32	Plucked string instrument,Guitar		Andy McKee,Thomas Negovan
Gittern	/m/098k3m	Plucked string instrument		
Tremolo Guitar	/m/096j7cf			
Cornish bagpipes	/m/08wn05	Bagpipes		
Street piano	/m/0f85h3			
Bodhrán	/m/0g_d7	Drum		Imelda May,Heather Alexander,Andy Gilmour,Bob Hallett,Ronnie Browne,Dave King,Caroline Corr,Ruth Moody,Heather Dale,The Corries,Emery Hutchins,Séan McCann,Shane MacGowan,Christy Moore
Agung a Tamlang	/m/0drg93			
Subharchord	/m/0d0nnq			
Buccin	/m/0cc7lt			
Siter	/m/0cpxky			
Minimoog Voyager	/m/0bwygd			
Chalumeau	/m/01_g4d	Clarinet		
Gibson Stradivarius	/m/05sppm	Violin		
Duet concertina	/m/05_jydl	Concertina		Bob Webb
Nyatiti	/m/05t82c	Plucked string instrument		
Yamatogoto	/m/070_8j			
ARP String Ensemble	/m/0bqflh	Synthesizer		
Eleven-string alto guitar	/m/05h469z	Classical guitar		
Piri	/m/06mjdc			
Wavedrum	/m/0l15jt	  Electronic instruments		
Baroque guitar	/m/0ff_l9	Guitar,Plucked string instrument		Julian Bream
Vienna horn	/m/0fjjtq			
Dobro	/m/0gghm			Nils Lofgren,Steve Wariner,Kid Rock,John Fogerty,Vince Gill,Willy DeVille,Low Stars,Bernie Leadon,Trent Tomlinson,Chris Whitley,Ruud Adrianus Jolie,Terry Tufts,Buck Trent,Richard Betts,Anita Cochran,Mike Mogis,Edgar Meyer,Derek Trucks,Emily Erwin,Bashful Brother Oswald,Rod Clements,John Lilley,Stefan Lessard,Jon Sholle,Lloyd Maines,Norm Hamlet,James Burton,Dale Oliver,David Bromberg,Paul Franklin,Jesse Brand,Jerry Douglas,Josh Cunningham,Andrew Winton,Gilles Beaudoin,Marty Robbins,Orville Johnson,Mike Seeger,Dale Murray
alto recorder	/m/0fpdd1g	Recorder		
Schnitger organ	/m/0bf59x			
Ableton Live 8	/m/09tbcn3			DJ Dain
Gaida	/m/0bvh8d	Bagpipes		Senmuth
Contrabass flute	/m/06gk7v	Flute (transverse)		
Khamak	/m/05m_4w3			
Tololoche	/m/05z_qbh			
Organum	/m/05s977			
Slit drum	/m/05b3t1			
Sackbut	/m/06nd7	Trombone		
Psaltery	/m/01p_jb	Zither	Epigonion	Azam Ali,Leila Bela
Castanet	/m/0df80	Classical percussion,Percussion		Hassan Hakmoun,Nils Frykdahl
Sipsi	/m/0cr7tj			
Serinette	/m/0fy2jd	Organ		
Ti Bwa	/m/0l15cn	Xylophone		
Drum machine	/m/0l14pz	  Electronic instruments		Gwen Stefani
Tubular bells	/m/0l14vv	       Bells		
soprano recorder	/m/0fpdd2k	Recorder		
Synclavier	/m/09wr_			Les Fradkin
Ganza	/m/02xdzv	Percussion		
